surface,wd_id,par_id
Rodi,Q188731,p4194_1
Bologna,Q1891,p4194_1
Bologna,Q1891,p4194_1
Spagne,Q29,p473_1
Spain,Q29,p4452_1
Scotland,Q22,p4452_1
Scandinavia,Q21195,p4452_1
Greece,Q41,p4452_1
europa,Q46,p3338_1
europa,Q46,p3338_1
europa,Q46,p3338_1
italia,Q38,p3338_1
italia,Q38,p3338_1
italia,Q38,p3338_1
Troy,Q22647,p4447_1
Italia,Q38,p4447_1
Troy,Q22647,p4447_1
Troia,Q22647,p4447_1
Latium,Q1048669,p4447_1
Ilion,Q22647,p4447_1
Peloponnesus,Q78967,p4447_1
Lazio,Q1048669,p4447_1
Roma,Q1747689,p4447_1
Milano,Q490,p1139_1
italia,Q38,p3069_1
Roma,Q220,p3069_1
italia,Q38,p3069_1
Spagna,Q29,p3069_1
italia,Q38,p1402_1
Eliso,Q157128,p3507_1
Basileae,Q78,p4152_1
Recanati,Q83362,p4419_2
Grèce,Q11772,p4416_3
Paris,Q90,p4416_3
Firenze,Q2044,p4416_3
Troie,Q22647,p4314_2
Troie,Q22647,p4314_2
Bologna,Q1891,p4167_4
italia,Q38,p2533_1
italia,Q38,p2533_1
Bologna,Q1891,p4177_2
Paris,Q90,p984_2
Grecia,Q11772,p3158_1
Lugo,Q52983,p4148_2
Bologna,Q1891,p4148_2
Recanati,Q83362,p4480_2
Napoli,Q2634,p3070_1
Torino,Q495,p3070_1
Parma,Q2683,p2390_2
America,Q828,p3797_1
impero messicano,Q2608489,p3797_1
America meridionale,Q18,p3797_1
italia,Q38,p3147_1
europa,Q46,p3147_1
europa,Q46,p3147_1
Regillus,Q17051922,p4456_1
Rome,Q1747689,p4456_1
Regillus,Q17051922,p4456_1
oriente,Q205653,p4478_1
Grecia,Q11772,p4478_1
oriente,Q205653,p4478_1
Grecia,Q11772,p4478_1
Messico,Q96,p2619_2
China,Q29520,p2619_2
China,Q29520,p2619_2
grecia,Q11772,p2619_2
fenicia,Q41642,p2619_2
grecia,Q11772,p2619_2
fenicia,Q41642,p2619_2
Firenze,Q2044,p2598_1
italia,Q38,p1249_1
italia,Q38,p1249_1
italia,Q38,p1249_1
toscana,Q1273,p1249_1
italia,Q38,p1035_2
Pisa,Q13375,p4300_8
Italia,Q38,p2475_1
Grecia,Q11772,p2475_1
